image,description,display name,category
42164.jpg,"Style Note One casual garment that'll make you look sophisticated in an instant is this t-shirt from status quo. The quirky print on the chest renders a subtle charm to the tee, while the soft blended fabric offers exemplary comfort. Team it with jeans and sports shoes for a touch of style. Product Details Green t-shirt, has a round neck, short sleeves with branding appliqued on the left sleevec, stitch detailing  and graphic print on the front Material and Care Blended fabric Machine wash at 40 degrees with like colours using a mild detergent Do not bleach Dry in shade Cool iron; do not iron on decorations Size and Fit Regular fit The model (height 6' and shoulders 18"") is wearing a size M",Status Quo Men Green T-shirt,Tshirts
40651.jpg,"Style Note Wear this kurta to work or for traditional family functions. With variety and style on their side, span kurtas fulfil the ethnic requirements of your wardrobe. Colourful with a contemporary edge, you can wear these kurtas with contrasting leggings or churidars and ethnic sandals for an easy traditional look. Product Details Olive green printed kurta with black panelling at the yoke, red short sleeves, side slits, narrow border at the hemline and a round neckline Material and Care 100% cotton Dry clean only Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size M",Span Women Olive Green Kurta,Kurtas
56627.jpg,"Olay Total Effects 7 in One Anti-Ageing Day Cream with SPF 15 Enriched with Vitamin B3, C and E Visibly smoothes fine lines and wrinkles Helps skin to maintain its moisture Evens skin tone appearance Minimises the look of pores Smoothes and evens out skin texture Enhances brightness Hydrates to restore firmer skin appearance For Best Results: Use daily on clean face and neck",Olay Total Effects 7 in One Anti-Ageing Day Cream,Face Moisturisers
28184.jpg,"High on style, this pair of sunglasses from the ray-ban collection comes in a styled frame. An eclectic mixture of fashion and wearablility, its shape provides that perfect Fit over the root of your nose. The glasses come in a signature Ray-Ban case.  Lens width : 55 mm Warranty : 1 year  Tinted high optical precision and impact resistant lens Stylised thin metal frame in an aerodynamic design for absolute comfort and durability Oval lens for absolute style and protection from the elements Flexible hinges for durability Flexible nose pads made of rubber with a double nose bridge to hold the glasses in place, ensuring there is no friction with the skin  Care Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",Ray-Ban Men Aviator Black Sunglasses,Sunglasses
9757.jpg,"Blue polo neck t-shirt with light blue stripes, made of 100% cotton with ribbed collar and short buttoned placket, tape detailing on the inseam of the collar, vented hems and pocket with embroidered logo on left side of the chest ",Classic Polo Men Ikon Blue Polo Tshirts,Tshirts
43206.jpg,-,Fastrack Men Black Dial Watch,Watches
41347.jpg,"Style Note If you're a denim person, then these black jeans from wrangler are perfect for you. With a comfortable waist and stretchable fabric, this pair looks on-trend and stays comfortable all day. Team this with casual shirts and sports shoes or funky T-shirts and canvas shoes.   Product Details Black jeans has two insert pockets on the front with one change pocket on the right, two patch pockets on the back with thread detailing, brand badge applique d on the right back pocket, belt loops on the waistband with a metal zip and button closure   Material and Care Cotton/spandex Machine wash cold inside out with like colours using a mild detergent Do not bleach or wring Tumble dry or flat dry inside out in shade Warm iron do not iron on decorations   Size and Fit Regular The model (height 6' and waist 32"" ) is wearing a size 32",Wrangler Men Black Texas Jeans,Jeans
38489.jpg,-,Baggit Women Yellow Baaz Moly Belt,Belts
15646.jpg,"Composition Grey jersey made of 100% polyester, with polyester meshes engineered with Dri Fit technology, has short raglan sleeves with a blue panel and blue stitch detailing, round neck and strategically placed ports for hassle-free management of earphone cords Fitting Comfort Wash care Machine wash cold with like colours Do not dry clean, bleach, use softeners or allow to lay on itself when wet Tumble dry low Remove immediately Cool iron Crafted from soft polyester and engineered with Dri-Fit technology, this jersey offers exemplary dry comfort, making it a great everyday wear for your healthy runs and casual days. What's even better is the strategically placed ports to ensure your earphone cords dont come in your way. Team this with jeans and running shoes for a sporty look.",Nike Men Running Grey Jerseys,Tshirts
48738.jpg,"Style Note Designed keeping in mind the aesthetics of the trendsetting youth of today, this bracelet from revv is simple, smart and stylish. Crafted from steel, its shine does not diminish with time, while its classic design and colour combination allow you to pair it with a wide range of ensembles. Product Details Silver coloured chained bracelet with braided leather intertwined through, metal magnetic clasp Materials and Care Steel Wipe with clean dry cloth to remove dust",Revv Men Steel Bangle,Bangle
4270.jpg,"Designed for elegance and comfort, rockport shoes are engineered with DMX technology that generates air flow dynamically while you walk, creating a cushion for your feet. This makes rockport shoes an absolute favourite for everyday wear, as it makes for a great set of casual formals with a solid blend of form and function. Upper Full-grain leather upper for added strength and durability and to retain the natural look of the hide  This leather upper also makes it easy to clean and enhances shoe life  Padded tongue and collar to help protect from excessive rubbing and prevent blisters Midsole  Moulded footbed made of polyurethane (PU) for long term wear  Shock absorbant cushioning to reduce foot fatigue  Strobel technology on the heel to provide cushioned comfort for the feet, but is at the same time firm and enhances support and flexibility to aid walking Outsole  Flex grooves provide durable grip on various surfaces  Lightweight, slip-resistant rubber outsole delivers shock absorption reducing foot fatigue  Moisture absorbent, odour resistant cushioning keeps feet dry and comfortable  AdiPRENE technology employed in outsole for added cushioning to protect the feet from impact  ",Rockport Men's Ananti Chocolate Shoe,Casual Shoes
42348.jpg,"Style Note The perfect accomplice for your tunic tops or short kurtas, these loose trousers are must-haves in any fashionable wardrobe. Make sure yours is the most fashionable outfit with these trendy carrot-top pants from flying machine. Product Details Black trousers, has a buttoned and zippered closure, panel in the front and back under the waistband with pleats to give a loose look at the top, insert pockets in front with pleat on it and a broad band at the hemlines to give a tapered look at the bottom Material Care 100% cotton Machine wash cold Do not tumble dry Do not dry in direct sunlight Use warm iron, do not iron on print Size and Fit The model (height 6'and waist 28"") is wearing a size 28",Flying Machine Women Back Trousers,Trousers
6904.jpg,"Composition Orange round neck t-shirt made of 100% cotton, with short sleeves and graphic print on the front Fitting Regular Wash care   Machine wash separately in cold water  Use mild detergent  Do not bleach  Avoid soaking  Remove immediately  Line dry inside out in shade  Warm iron only  Do not iron directly on print/embroidery   Don this orange tee from tantra and declare to the world that the queen of Cool has arrived! Advertise your cool attitude in this comfortable t-shirt with style. Pair it with jeans, shorts or capris, and stay cool. Always! Model statistics The model wears size M in t-shirts Height-5.7"", Chest-33"", Waist-26""",Tantra Women's Cool Orange T-shirt,Tshirts
